일자,군포,성수,강서
2022.7.20,,43.70%,52.80%
2022.7.21,,39.60%,45.70%
2022.7.22,,36.80%,50.60%
2022.7.23,,40.40%,39.20%
2022.7.24,,25.90%,53.40%
2022.7.25,,32.00%,43.00%
2022.7.26,,36.00%,39.90%
2022.7.27,,25.10%,43.10%
2022.7.28,,39.40%,30.90%
2022.7.29,,40.20%,35.50%
2022.7.30,,26.50%,31.60%
2022.7.31,,40.70%,36.40%
2022.8.1,,41.40%,37.80%
2022.8.2,,34.90%,38.80%
2022.8.3,30.00%,32.90%,44.80%
2022.8.4,9.60%,39.40%,44.30%
2022.8.5,36.80%,43.50%,31.10%
2022.8.6,25.50%,29.40%,29.00%
2022.8.7,40.10%,38.00%,37.20%
2022.8.8,21.00%,34.90%,55.80%
2022.8.9,,21.30%,30.70%
2022.8.10,,40.80%,